marks,candidates,share,cumulative_share
283,2942,0.0012609497325946504,0.7133722390472673
284,3054,0.0013089532574249024,0.7146811923046922
285,3504,0.0015018245625464499,0.7161830168672386
286,3031,0.00129909539071869,0.7174821122579573
287,2854,0.0012232326773708813,0.7187053449353282
288,2851,0.001221946868670071,0.7199272918039983
289,2944,0.0012618069383951906,0.7211890987423935
290,3351,0.0014362483188051238,0.7226253470611986
291,2930,0.0012558064977914092,0.7238811535589901
292,2880,0.001234376352777904,0.725115529911768
293,2839,0.0012168036338668297,0.7263323335456348
294,2671,0.0011447983466214518,0.7274771318922562
295,3304,0.0014161039824924287,0.7288932358747486
296,2759,0.0011825154018452212,0.7300757512765939
297,2942,0.0012609497325946504,0.7313367010091885
298,2829,0.0012125176048641286,0.7325492186140526
299,2826,0.0012112317961633183,0.733760450410216
300,3204,0.0013732436924654182,0.7351336941026814
301,2862,0.001226661500573042,0.7363603556032544
302,2679,0.0011482271698236128,0.7375085827730781
303,2741,0.0011748005496403592,0.7386833833227184
304,2794,0.0011975165033546748,0.7398808998260731
305,3194,0.0013689576634627171,0.7412498574895358
306,2780,0.0011915160627508933,0.7424413735522867
307,2746,0.0011769435641417099,0.7436183171164283
308,2577,0.001104509673996062,0.7447228267904245
309,2820,0.0012086601787616976,0.7459314869691861
310,3008,0.0012892375240124774,0.7472207244931985
311,2792,0.0011966592975541346,0.7484173837907526
312,2664,0.0011417981263195612,0.7495591819170722
313,2598,0.0011135103349017342,0.7506726922519739
314,2640,0.0011315116567130786,0.751804203908687
315,2886,0.0012369479701795246,0.7530411518788664
316,2650,0.0011357976857157798,0.7541769495645823
317,2645,0.001133654671214429,0.7553106042357967
318,2620,0.0011229395987076766,0.7564335438345043
319,2660,0.0011400837147184809,0.7575736275492229
320,3019,0.0012939521559154486,0.7588675797051383
321,2691,0.001153370404626854,0.7600209501097651
322,2546,0.0010912229840876887,0.7611121730938528
323,2590,0.0011100815116995733,0.7622222546055524
324,2527,0.0010830795289825568,0.7633053341345349
325,2881,0.0012348049556781741,0.7645401390902131
326,2533,0.0010856511463841773,0.7656257902365973
327,2367,0.0010145030649393399,0.7666402933015366
328,2486,0.0010655068100714825,0.767705800111608
329,2463,0.00105564894336527,0.7687614490549733
330,2806,0.001202659738157916,0.7699641087931313
331,2521,0.001080507911580936,0.7710446167047122
332,2496,0.0010697928390741834,0.7721144095437864
333,2462,0.0010552203404649999,0.7731696298842514
334,2462,0.0010552203404649999,0.7742248502247164
335,2772,0.0011880872395487326,0.7754129374642652
336,2474,0.0010603635752682412,0.7764733010395335
337,2477,0.0010616493839690514,0.7775349504235025
338,2310,0.000990072699623944,0.7785250231231264
