stratum_id,label,outcome,metric,bin_left,bin_right,share,count
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,law,annual,0.0,1.0,0.51895,20758.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,law,annual,1.0,100000.0,0.03875,1550.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,law,annual,100000.0,250000.0,0.190225,7609.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,law,annual,250000.0,500000.0,0.1726,6904.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,law,annual,500000.0,1000000.0,0.068125,2725.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,law,annual,1000000.0,2000000.0,0.0108,432.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,law,annual,2000000.0,5000000.0,0.00055,22.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,law,annual_if_employed,0.0,1.0,0.0,0.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,law,annual_if_employed,1.0,100000.0,0.08055295707306932,1550.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,law,annual_if_employed,100000.0,250000.0,0.39543706475418355,7609.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,law,annual_if_employed,250000.0,500000.0,0.35879846169836815,6904.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,law,annual_if_employed,500000.0,1000000.0,0.14161729549942834,2725.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,law,annual_if_employed,1000000.0,2000000.0,0.02245088868101029,432.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,law,annual_if_employed,2000000.0,5000000.0,0.0011433322939403388,22.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,other_graduate,annual,0.0,1.0,0.530275,21211.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,other_graduate,annual,1.0,100000.0,0.080825,3233.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,other_graduate,annual,100000.0,250000.0,0.215675,8627.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,other_graduate,annual,250000.0,500000.0,0.129925,5197.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,other_graduate,annual,500000.0,1000000.0,0.038375,1535.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,other_graduate,annual,1000000.0,2000000.0,0.004775,191.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,other_graduate,annual,2000000.0,5000000.0,0.00015,6.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,other_graduate,annual_if_employed,0.0,1.0,0.0,0.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,other_graduate,annual_if_employed,1.0,100000.0,0.172068763638299,3233.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,other_graduate,annual_if_employed,100000.0,250000.0,0.4591516312736175,8627.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,other_graduate,annual_if_employed,250000.0,500000.0,0.27659800947362817,5197.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,other_graduate,annual_if_employed,500000.0,1000000.0,0.08169673745276491,1535.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,other_graduate,annual_if_employed,1000000.0,2000000.0,0.010165522380116025,191.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,other_graduate,annual_if_employed,2000000.0,5000000.0,0.0003193357815743254,6.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,non_professional_graduate,annual,0.0,1.0,0.547375,21895.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,non_professional_graduate,annual,1.0,100000.0,0.0613,2452.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,non_professional_graduate,annual,100000.0,250000.0,0.16535,6614.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,non_professional_graduate,annual,250000.0,500000.0,0.13535,5414.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,non_professional_graduate,annual,500000.0,1000000.0,0.069175,2767.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,non_professional_graduate,annual,1000000.0,2000000.0,0.0186,744.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,non_professional_graduate,annual,2000000.0,5000000.0,0.0028,112.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,non_professional_graduate,annual_if_employed,0.0,1.0,0.0,0.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,non_professional_graduate,annual_if_employed,1.0,100000.0,0.13543220104943385,2452.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,non_professional_graduate,annual_if_employed,100000.0,250000.0,0.3653134493233913,6614.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,non_professional_graduate,annual_if_employed,250000.0,500000.0,0.29903341618337476,5414.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,non_professional_graduate,annual_if_employed,500000.0,1000000.0,0.1528307097486882,2767.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,non_professional_graduate,annual_if_employed,1000000.0,2000000.0,0.041093620546810275,744.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,non_professional_graduate,annual_if_employed,2000000.0,5000000.0,0.006186136426401547,112.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,no_college,annual,0.0,1.0,0.503025,20121.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,no_college,annual,1.0,100000.0,0.2092,8368.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,no_college,annual,100000.0,250000.0,0.19875,7950.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,no_college,annual,250000.0,500000.0,0.0683,2732.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,no_college,annual,500000.0,1000000.0,0.018375,735.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,no_college,annual,1000000.0,2000000.0,0.002275,91.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,no_college,annual,2000000.0,5000000.0,7.5e-05,3.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,no_college,annual_if_employed,0.0,1.0,0.0,0.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,no_college,annual_if_employed,1.0,100000.0,0.4209467277026007,8368.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,no_college,annual_if_employed,100000.0,250000.0,0.39991951305397655,7950.0
