stratum_id,label,arms_race_scenario,outcome,metric,bin_left,bin_right,share,count
english_can_afford_metro_modest,English · can afford private · metro · modest prep,everyone_intensive,realized,annual,1.0,100000.0,0.044833333333333336,538.0
english_can_afford_metro_modest,English · can afford private · metro · modest prep,everyone_intensive,realized,annual,100000.0,250000.0,0.18575,2229.0
english_can_afford_metro_modest,English · can afford private · metro · modest prep,everyone_intensive,realized,annual,250000.0,500000.0,0.17641666666666667,2117.0
english_can_afford_metro_modest,English · can afford private · metro · modest prep,everyone_intensive,realized,annual,500000.0,1000000.0,0.10116666666666667,1214.0
english_can_afford_metro_modest,English · can afford private · metro · modest prep,everyone_intensive,realized,annual,1000000.0,2000000.0,0.024916666666666667,299.0
english_can_afford_metro_modest,English · can afford private · metro · modest prep,everyone_intensive,realized,annual,2000000.0,5000000.0,0.0030833333333333333,37.0
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,everyone_intensive,realized,annual,0.0,1.0,0.46591666666666665,5591.0
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,everyone_intensive,realized,annual,1.0,100000.0,0.04441666666666667,533.0
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,everyone_intensive,realized,annual,100000.0,250000.0,0.18258333333333332,2191.0
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,everyone_intensive,realized,annual,250000.0,500000.0,0.18075,2169.0
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,everyone_intensive,realized,annual,500000.0,1000000.0,0.09716666666666667,1166.0
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,everyone_intensive,realized,annual,1000000.0,2000000.0,0.025583333333333333,307.0
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,everyone_intensive,realized,annual,2000000.0,5000000.0,0.0035,42.0
