stratum_id,label,arms_race_scenario,bin_left,bin_right,share,count
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,rivals_escalate_modest,100.0,200.0,0.3462,13848.0
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,rivals_escalate_modest,200.0,300.0,0.1735,6940.0
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,rivals_escalate_modest,300.0,400.0,0.131025,5241.0
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,rivals_escalate_modest,400.0,500.0,0.088625,3545.0
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,rivals_escalate_modest,500.0,600.0,0.06425,2570.0
english_can_afford_metro_intensive,English · can afford private · metro · intensive prep,rivals_escalate_modest,600.0,720.0,0.056125,2245.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,rivals_escalate_intensive,-180.0,0.0,0.092925,3717.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,rivals_escalate_intensive,0.0,100.0,0.355775,14231.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,rivals_escalate_intensive,100.0,200.0,0.190925,7637.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,rivals_escalate_intensive,200.0,300.0,0.140475,5619.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,rivals_escalate_intensive,300.0,400.0,0.089,3560.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,rivals_escalate_intensive,400.0,500.0,0.068425,2737.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,rivals_escalate_intensive,500.0,600.0,0.047925,1917.0
tamil_cant_afford_nonmetro_none,Tamil · cannot afford private · non-metro · no prep,rivals_escalate_intensive,600.0,720.0,0.01455,582.0
tamil_cant_afford_nonmetro_modest,Tamil · cannot afford private · non-metro · modest prep,rivals_escalate_intensive,-180.0,0.0,0.05275,2110.0
tamil_cant_afford_nonmetro_modest,Tamil · cannot afford private · non-metro · modest prep,rivals_escalate_intensive,0.0,100.0,0.352025,14081.0
tamil_cant_afford_nonmetro_modest,Tamil · cannot afford private · non-metro · modest prep,rivals_escalate_intensive,100.0,200.0,0.21185,8474.0
tamil_cant_afford_nonmetro_modest,Tamil · cannot afford private · non-metro · modest prep,rivals_escalate_intensive,200.0,300.0,0.15095,6038.0
tamil_cant_afford_nonmetro_modest,Tamil · cannot afford private · non-metro · modest prep,rivals_escalate_intensive,300.0,400.0,0.089575,3583.0
tamil_cant_afford_nonmetro_modest,Tamil · cannot afford private · non-metro · modest prep,rivals_escalate_intensive,400.0,500.0,0.0727,2908.0
tamil_cant_afford_nonmetro_modest,Tamil · cannot afford private · non-metro · modest prep,rivals_escalate_intensive,500.0,600.0,0.0499,1996.0
tamil_cant_afford_nonmetro_modest,Tamil · cannot afford private · non-metro · modest prep,rivals_escalate_intensive,600.0,720.0,0.02025,810.0
english_cant_afford_nonmetro_modest,English · cannot afford private · non-metro · modest prep,rivals_escalate_intensive,-180.0,0.0,0.00675,270.0
english_cant_afford_nonmetro_modest,English · cannot afford private · non-metro · modest prep,rivals_escalate_intensive,0.0,100.0,0.281175,11247.0
english_cant_afford_nonmetro_modest,English · cannot afford private · non-metro · modest prep,rivals_escalate_intensive,100.0,200.0,0.2691,10764.0
english_cant_afford_nonmetro_modest,English · cannot afford private · non-metro · modest prep,rivals_escalate_intensive,200.0,300.0,0.1674,6696.0
english_cant_afford_nonmetro_modest,English · cannot afford private · non-metro · modest prep,rivals_escalate_intensive,300.0,400.0,0.1,4000.0
english_cant_afford_nonmetro_modest,English · cannot afford private · non-metro · modest prep,rivals_escalate_intensive,400.0,500.0,0.08415,3366.0
english_cant_afford_nonmetro_modest,English · cannot afford private · non-metro · modest prep,rivals_escalate_intensive,500.0,600.0,0.054575,2183.0
english_cant_afford_nonmetro_modest,English · cannot afford private · non-metro · modest prep,rivals_escalate_intensive,600.0,720.0,0.03685,1474.0
english_can_afford_nonmetro_modest,English · can afford private · non-metro · modest prep,rivals_escalate_intensive,-180.0,0.0,0.00675,270.0
english_can_afford_nonmetro_modest,English · can afford private · non-metro · modest prep,rivals_escalate_intensive,0.0,100.0,0.281175,11247.0
english_can_afford_nonmetro_modest,English · can afford private · non-metro · modest prep,rivals_escalate_intensive,100.0,200.0,0.2691,10764.0
english_can_afford_nonmetro_modest,English · can afford private · non-metro · modest prep,rivals_escalate_intensive,200.0,300.0,0.1674,6696.0
english_can_afford_nonmetro_modest,English · can afford private · non-metro · modest prep,rivals_escalate_intensive,300.0,400.0,0.1,4000.0
english_can_afford_nonmetro_modest,English · can afford private · non-metro · modest prep,rivals_escalate_intensive,400.0,500.0,0.08415,3366.0
english_can_afford_nonmetro_modest,English · can afford private · non-metro · modest prep,rivals_escalate_intensive,500.0,600.0,0.054575,2183.0
