stratum_id,label,metric,x,cdf_government_mbbs,cdf_no_seat_mixture,cdf_engineering
english_can_afford_nonmetro_modest,English · can afford private · non-metro · modest prep,annual_if_employed,6905293.671751525,0.9995839573972375,1.0,1.0
english_can_afford_nonmetro_modest,English · can afford private · non-metro · modest prep,annual_if_employed,7181039.263450419,0.99966716591779,1.0,1.0
english_can_afford_nonmetro_modest,English · can afford private · non-metro · modest prep,annual_if_employed,7456784.855149312,0.9997503744383425,1.0,1.0
english_can_afford_nonmetro_modest,English · can afford private · non-metro · modest prep,annual_if_employed,7732530.446848206,0.999833582958895,1.0,1.0
english_can_afford_nonmetro_modest,English · can afford private · non-metro · modest prep,annual_if_employed,8008276.0385471,0.999833582958895,1.0,1.0
english_can_afford_nonmetro_modest,English · can afford private · non-metro · modest prep,annual_if_employed,8284021.630245993,0.999833582958895,1.0,1.0
english_can_afford_nonmetro_modest,English · can afford private · non-metro · modest prep,annual_if_employed,8559767.221944885,0.999833582958895,1.0,1.0
english_can_afford_nonmetro_modest,English · can afford private · non-metro · modest prep,annual_if_employed,8835512.81364378,0.999833582958895,1.0,1.0
english_can_afford_nonmetro_modest,English · can afford private · non-metro · modest prep,annual_if_employed,9111258.405342674,0.999833582958895,1.0,1.0
english_can_afford_nonmetro_modest,English · can afford private · non-metro · modest prep,annual_if_employed,9387003.997041566,0.9998751872191712,1.0,1.0
english_can_afford_nonmetro_modest,English · can afford private · non-metro · modest prep,annual_if_employed,9662749.58874046,0.9999167914794475,1.0,1.0
english_can_afford_nonmetro_modest,English · can afford private · non-metro · modest prep,annual_if_employed,9938495.180439353,0.9999167914794475,1.0,1.0
english_can_afford_nonmetro_modest,English · can afford private · non-metro · modest prep,annual_if_employed,10214240.772138247,0.9999167914794475,1.0,1.0
english_can_afford_nonmetro_modest,English · can afford private · non-metro · modest prep,annual_if_employed,10489986.36383714,0.9999167914794475,1.0,1.0
english_can_afford_nonmetro_modest,English · can afford private · non-metro · modest prep,annual_if_employed,10765731.955536034,0.9999583957397238,1.0,1.0
english_can_afford_nonmetro_modest,English · can afford private · non-metro · modest prep,annual_if_employed,11041477.547234926,1.0,1.0,1.0
english_can_afford_metro_modest,English · can afford private · metro · modest prep,annual_if_employed,11653.879279189254,0.0,4.69109161701928e-05,0.0
