source_file,round,sno,rank,allotted_quota,allotted_institute,course,allotted_category,candidate_category,remarks
019_final_result_round_3_ug_counselling_2024.pdf,3,3060,23190,All India,"GOVT MEDICAL COLLEGE, WANAPARTH Y ,Marrikunta, Pebbair Road, Wanaparthy District, Telangana state., Telangana, 509103",MBBS,Open,OBC,Fresh Allotted in 3nd Round
019_final_result_round_3_ug_counselling_2024.pdf,3,3061,23193,All India,"Jorhat Medical College and Hospital, JORHAT,Kush al Konwar Path, Barbheta, Jorhat, Assam, 785001, Assam, 785001",MBBS,Open,General,Fresh Allotted in 3nd Round
019_final_result_round_3_ug_counselling_2024.pdf,3,3062,23195,All India,"Sarat Chandra Chattopadhya y Govt. Medical College & Hospital, Uluberia,ULU BERIA, DIST- HOWRAH, West Bengal, 711315",MBBS,OBC,OBC,Fresh Allotted in 3nd Round
019_final_result_round_3_ug_counselling_2024.pdf,3,3063,23199,All India,"Government Medical College Mahasamund Chhattisgarh,I n front of Sai temple raipur road village kharora Mahasamund, Chhattisgarh, 493445",MBBS,OBC,OBC,Fresh Allotted in 3nd Round
019_final_result_round_3_ug_counselling_2024.pdf,3,3064,23200,All India,"Nalbari Medical College & Hospital Dakhingaon, Nalbari,PO Dakhingaon Dist Nalbari PS Ghograpar, Assam, 781350",MBBS,Open,General,Fresh Allotted in 3nd Round
019_final_result_round_3_ug_counselling_2024.pdf,3,3065,23201,All India,"Government Medical College, Kanker, Chhattisgarh,L ate Smt. Indira Gandhi Memorial Government Medical College, Kanker, Chhattisgarh, Chhattisgarh, 494334",MBBS,Open,OBC,Upgraded
019_final_result_round_3_ug_counselling_2024.pdf,3,3066,23204,All India,"GOVT. DENTAL COLLEGE & HOSP.,NAGP UR,Governme nt Dental College And Hospital GMC Campus Nagpur, Maharashtra, 440003",BDS,Open,OBC,Fresh Allotted in 3nd Round
019_final_result_round_3_ug_counselling_2024.pdf,3,3067,23206,All India,"Government Medical College, Kanker, Chhattisgarh,L ate Smt. Indira Gandhi Memorial Government Medical College, Kanker, Chhattisgarh, Chhattisgarh, 494334",MBBS,OBC,OBC,Upgraded
019_final_result_round_3_ug_counselling_2024.pdf,3,3068,23209,All India,"Government Medical College & Hospital, Jalpaiguri,Hos pital Road, Jalpaiguri, West Bengal- 735101, West Bengal, 735101",MBBS,OBC,OBC,Fresh Allotted in 3nd Round
019_final_result_round_3_ug_counselling_2024.pdf,3,3069,23210,All India,"Government Medical College, Kanker, Chhattisgarh,L ate Smt. Indira Gandhi Memorial Government Medical College, Kanker, Chhattisgarh, Chhattisgarh, 494334",MBBS,OBC,OBC,Fresh Allotted in 3nd Round
019_final_result_round_3_ug_counselling_2024.pdf,3,3070,23211,All India,"Government Medical College, Korba(C.G.),G ovt. Medical College, Village Jhagrha, Balco-urga Road, City Korba C.G., Chhattisgarh, 495683",MBBS,Open,OBC,Upgraded
019_final_result_round_3_ug_counselling_2024.pdf,3,3071,23212,All India,"BIDAR INSTITUTE OF MEDICAL SCI., BIDAR,BIDAR INSTITUTE OF MEDICAL SCIENCES BIDAR UDGIR ROAD BIDAR- 585401, Karnataka, 585401",MBBS,EWS,EWS,Fresh Allotted in 3nd Round
