year,phase,course,college_code,college_name,college_type,category,last_rank,other_categories_raw,source_file
2025,1,MBBS,AAD,"Al Azhar Dental College, Thodupuzha",S,KU,33012,,mbbs_lrank_final.pdf
2025,1,MBBS,AAD,"Al Azhar Dental College, Thodupuzha",S,SC,21983,,mbbs_lrank_final.pdf
2025,1,MBBS,AAD,"Al Azhar Dental College, Thodupuzha",S,ST,32567,,mbbs_lrank_final.pdf
2025,1,MBBS,AAD,"Al Azhar Dental College, Thodupuzha",S,EW,42370,,mbbs_lrank_final.pdf
2025,1,MBBS,ADC,"Annoor Dental College, Puthuppady, Muvattupuzha",S,SM,15495,"MM:17905, NR:44825",mbbs_lrank_final.pdf
2025,1,MBBS,ADC,"Annoor Dental College, Puthuppady, Muvattupuzha",S,EZ,18708,,mbbs_lrank_final.pdf
2025,1,MBBS,ADC,"Annoor Dental College, Puthuppady, Muvattupuzha",S,MU,16502,,mbbs_lrank_final.pdf
2025,1,MBBS,ADC,"Annoor Dental College, Puthuppady, Muvattupuzha",S,LA,16520,,mbbs_lrank_final.pdf
2025,1,MBBS,ADC,"Annoor Dental College, Puthuppady, Muvattupuzha",S,DV,16477,,mbbs_lrank_final.pdf
2025,1,MBBS,ADC,"Annoor Dental College, Puthuppady, Muvattupuzha",S,VK,16922,,mbbs_lrank_final.pdf
2025,1,MBBS,ADC,"Annoor Dental College, Puthuppady, Muvattupuzha",S,BH,15690,,mbbs_lrank_final.pdf
2025,1,MBBS,ADC,"Annoor Dental College, Puthuppady, Muvattupuzha",S,BX,,,mbbs_lrank_final.pdf
2025,1,MBBS,ADC,"Annoor Dental College, Puthuppady, Muvattupuzha",S,KN,22638,,mbbs_lrank_final.pdf
2025,1,MBBS,ADC,"Annoor Dental College, Puthuppady, Muvattupuzha",S,KU,,,mbbs_lrank_final.pdf
2025,1,MBBS,ADC,"Annoor Dental College, Puthuppady, Muvattupuzha",S,SC,18920,,mbbs_lrank_final.pdf
2025,1,MBBS,ADC,"Annoor Dental College, Puthuppady, Muvattupuzha",S,ST,35448,,mbbs_lrank_final.pdf
