year,phase,course,college_code,college_name,college_type,category,last_rank,other_categories_raw,source_file
2025,1,MBBS,PKM,"Government Medical College, Palakkad",G,MU,892,,mbbs_lrank_final.pdf
2025,1,MBBS,PKM,"Government Medical College, Palakkad",G,LA,2485,,mbbs_lrank_final.pdf
2025,1,MBBS,PKM,"Government Medical College, Palakkad",G,DV,,,mbbs_lrank_final.pdf
2025,1,MBBS,PKM,"Government Medical College, Palakkad",G,VK,,,mbbs_lrank_final.pdf
2025,1,MBBS,PKM,"Government Medical College, Palakkad",G,BH,,,mbbs_lrank_final.pdf
2025,1,MBBS,PKM,"Government Medical College, Palakkad",G,BX,,,mbbs_lrank_final.pdf
2025,1,MBBS,PKM,"Government Medical College, Palakkad",G,KN,,,mbbs_lrank_final.pdf
2025,1,MBBS,PKM,"Government Medical College, Palakkad",G,KU,,,mbbs_lrank_final.pdf
2025,1,MBBS,PKM,"Government Medical College, Palakkad",G,SC,14160,,mbbs_lrank_final.pdf
2025,1,MBBS,PKM,"Government Medical College, Palakkad",G,ST,22753,,mbbs_lrank_final.pdf
2025,1,MBBS,PKM,"Government Medical College, Palakkad",G,EW,2153,,mbbs_lrank_final.pdf
2025,1,MBBS,PTM,"Government Medical College, Konni, Pathanamthitta",G,SM,,"DM:22110, PD:43712, PT:5",mbbs_lrank_final.pdf
2025,1,MBBS,PTM,"Government Medical College, Konni, Pathanamthitta",G,EZ,1622,,mbbs_lrank_final.pdf
2025,1,MBBS,PTM,"Government Medical College, Konni, Pathanamthitta",G,MU,911,,mbbs_lrank_final.pdf
2025,1,MBBS,PTM,"Government Medical College, Konni, Pathanamthitta",G,LA,2496,,mbbs_lrank_final.pdf
2025,1,MBBS,PTM,"Government Medical College, Konni, Pathanamthitta",G,DV,6514,,mbbs_lrank_final.pdf
2025,1,MBBS,PTM,"Government Medical College, Konni, Pathanamthitta",G,VK,2107,,mbbs_lrank_final.pdf
2025,1,MBBS,PTM,"Government Medical College, Konni, Pathanamthitta",G,BH,1892,,mbbs_lrank_final.pdf
2025,1,MBBS,PTM,"Government Medical College, Konni, Pathanamthitta",G,BX,2396,,mbbs_lrank_final.pdf
2025,1,MBBS,PTM,"Government Medical College, Konni, Pathanamthitta",G,KN,8873,,mbbs_lrank_final.pdf
2025,1,MBBS,PTM,"Government Medical College, Konni, Pathanamthitta",G,KU,19105,,mbbs_lrank_final.pdf
2025,1,MBBS,PTM,"Government Medical College, Konni, Pathanamthitta",G,SC,11110,,mbbs_lrank_final.pdf
2025,1,MBBS,PTM,"Government Medical College, Konni, Pathanamthitta",G,ST,24188,,mbbs_lrank_final.pdf
2025,1,MBBS,PTM,"Government Medical College, Konni, Pathanamthitta",G,EW,2482,,mbbs_lrank_final.pdf
2025,1,MBBS,TCM,"Govt. Medical College, Thrissur",G,SM,460,"DA:10305, PD:32884, PT:3, XS:626",mbbs_lrank_final.pdf
2025,1,MBBS,TCM,"Govt. Medical College, Thrissur",G,EZ,653,,mbbs_lrank_final.pdf
2025,1,MBBS,TCM,"Govt. Medical College, Thrissur",G,MU,496,,mbbs_lrank_final.pdf
2025,1,MBBS,TCM,"Govt. Medical College, Thrissur",G,LA,1548,,mbbs_lrank_final.pdf
2025,1,MBBS,TCM,"Govt. Medical College, Thrissur",G,DV,4531,,mbbs_lrank_final.pdf
2025,1,MBBS,TCM,"Govt. Medical College, Thrissur",G,VK,1223,,mbbs_lrank_final.pdf
2025,1,MBBS,TCM,"Govt. Medical College, Thrissur",G,BH,799,,mbbs_lrank_final.pdf
2025,1,MBBS,TCM,"Govt. Medical College, Thrissur",G,BX,1421,,mbbs_lrank_final.pdf
2025,1,MBBS,TCM,"Govt. Medical College, Thrissur",G,KN,6595,,mbbs_lrank_final.pdf
2025,1,MBBS,TCM,"Govt. Medical College, Thrissur",G,KU,10556,,mbbs_lrank_final.pdf
2025,1,MBBS,TCM,"Govt. Medical College, Thrissur",G,SC,8273,,mbbs_lrank_final.pdf
2025,1,MBBS,TCM,"Govt. Medical College, Thrissur",G,ST,17812,,mbbs_lrank_final.pdf
2025,1,MBBS,TCM,"Govt. Medical College, Thrissur",G,EW,1504,,mbbs_lrank_final.pdf
2025,1,MBBS,TVM,"Govt. Medical College, Thiruvananthapuram",G,SM,308,"DA:13306, DK:2696, NQ:22223, PD:25856, PT:4, XS:362",mbbs_lrank_final.pdf
2025,1,MBBS,TVM,"Govt. Medical College, Thiruvananthapuram",G,EZ,539,,mbbs_lrank_final.pdf
2025,1,MBBS,TVM,"Govt. Medical College, Thiruvananthapuram",G,MU,347,,mbbs_lrank_final.pdf
2025,1,MBBS,TVM,"Govt. Medical College, Thiruvananthapuram",G,LA,789,,mbbs_lrank_final.pdf
2025,1,MBBS,TVM,"Govt. Medical College, Thiruvananthapuram",G,DV,3297,,mbbs_lrank_final.pdf
2025,1,MBBS,TVM,"Govt. Medical College, Thiruvananthapuram",G,VK,760,,mbbs_lrank_final.pdf
2025,1,MBBS,TVM,"Govt. Medical College, Thiruvananthapuram",G,BH,589,,mbbs_lrank_final.pdf
2025,1,MBBS,TVM,"Govt. Medical College, Thiruvananthapuram",G,BX,502,,mbbs_lrank_final.pdf
2025,1,MBBS,TVM,"Govt. Medical College, Thiruvananthapuram",G,KN,4808,,mbbs_lrank_final.pdf
2025,1,MBBS,TVM,"Govt. Medical College, Thiruvananthapuram",G,KU,14155,,mbbs_lrank_final.pdf
2025,1,MBBS,TVM,"Govt. Medical College, Thiruvananthapuram",G,SC,5970,,mbbs_lrank_final.pdf
2025,1,MBBS,TVM,"Govt. Medical College, Thiruvananthapuram",G,ST,14855,,mbbs_lrank_final.pdf
2025,1,MBBS,TVM,"Govt. Medical College, Thiruvananthapuram",G,EW,1204,,mbbs_lrank_final.pdf
2025,1,MBBS,AAM,"Al Azhar Medical college, Thodupuzha",S,SM,8343,"AM:5939, MM:10338, NR:34791",mbbs_lrank_final.pdf
2025,1,MBBS,AAM,"Al Azhar Medical college, Thodupuzha",S,EZ,8755,,mbbs_lrank_final.pdf
2025,1,MBBS,AAM,"Al Azhar Medical college, Thodupuzha",S,MU,8907,,mbbs_lrank_final.pdf
2025,1,MBBS,AAM,"Al Azhar Medical college, Thodupuzha",S,LA,10190,,mbbs_lrank_final.pdf
2025,1,MBBS,AAM,"Al Azhar Medical college, Thodupuzha",S,DV,8353,,mbbs_lrank_final.pdf
2025,1,MBBS,AAM,"Al Azhar Medical college, Thodupuzha",S,VK,8946,,mbbs_lrank_final.pdf
2025,1,MBBS,AAM,"Al Azhar Medical college, Thodupuzha",S,BH,8378,,mbbs_lrank_final.pdf
2025,1,MBBS,AAM,"Al Azhar Medical college, Thodupuzha",S,BX,9174,,mbbs_lrank_final.pdf
2025,1,MBBS,AAM,"Al Azhar Medical college, Thodupuzha",S,KN,11377,,mbbs_lrank_final.pdf
2025,1,MBBS,AAM,"Al Azhar Medical college, Thodupuzha",S,KU,21977,,mbbs_lrank_final.pdf
